レースコード,レース場,レース回,風向,風速,波の高さ,スタンド距離,級別,3連複_結果,全国勝率_Zスコア,当地勝率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240608HMN11,18,10,3,4.0,2.0,42.7,1,0,1.072868930562215,0.573849305351094,-0.8679883397501758,-0.12323924651201,0.5344593872674932
20240608HMN12,18,11,3,4.0,2.0,42.7,2,0,-1.332057389432237,-0.9185840219352464,-0.0316047272625527,-0.6742172601181027,1.5544735314138478
20240608TMG01,7,0,0,3.0,2.0,41.0,1,0,1.35833256140441,1.4019303852301108,0.4463917733068463,0.8356872761094678,1.1403616217893813
20240608TMG02,7,1,1,2.0,2.0,41.0,0,1,1.0128171596727205,1.0355785990227913,-0.975310291398182,0.142911852219696,-1.5894301235885684
20240608TMG03,7,2,0,2.0,2.0,41.0,1,0,0.3188369746223076,0.7987253042146238,0.1687851879220862,0.5765383525267163,1.3269776053940685
20240608TMG04,7,3,1,3.0,2.0,41.0,2,0,-0.170764777549352,0.1602080147616447,0.2419714433828362,-1.579698167642238,1.2207160944507915
20240608TMG05,7,4,0,2.0,2.0,41.0,1,0,0.545194093019233,0.6320759221416064,0.5370526842812094,0.8302203242630957,0.3706728665329279
20240608TMG06,7,5,1,3.0,2.0,41.0,2,1,-0.7149980065777968,-0.9690806653366906,0.7688822352006626,-0.6023437086525575,0.9205101496312776
20240608TMG07,7,6,1,4.0,3.0,41.0,3,1,0.4343486550797359,-0.8881297478319096,1.3593451027365933,-0.9436849409841512,0.655403131366346
20240608TMG08,7,7,1,4.0,3.0,41.0,1,0,1.3256964989421176,1.2149555266448626,-1.2373459209353703,-0.8734413073398773,-1.3363062095621558
20240608TMG09,7,8,1,4.0,3.0,41.0,1,0,1.0871456069839702,1.59883509997321,1.7922457383032135,-1.227641867457555,-0.6607746403293364
20240608TMG10,7,9,1,4.0,3.0,41.0,0,1,0.4511838356738092,1.6332930056088393,1.429410299713681,-0.5936298824056623,1.2214096331049162
20240608TMG11,7,10,1,4.0,3.0,41.0,0,1,0.8755608429381964,1.589663907209108,0.3101294683207289,1.0841848217377592,0.8969937018448864
20240608TMG12,7,11,1,3.0,2.0,41.0,0,1,0.486136432978164,1.3251639714560308,-0.2160975487186408,0.1374063054223024,0.7332355751067613
20240608TDA02,14,1,6,1.0,1.0,37.0,2,0,-1.4443520677828248,-0.3428560748843045,0.8279100464911321,-0.2168726357701395,-1.5858376185413658
20240608TDA03,14,2,8,1.0,1.0,37.0,1,0,-0.7330362857116883,0.1329785935399245,-0.4365961050907959,0.1850328239207781,-0.6513039130456713
20240608TDA04,14,3,8,3.0,2.0,37.0,2,0,-1.5311168991067334,-1.4742697540205942,-0.9336276440818432,0.1346831418776244,0.1913477007683694
20240608TDA05,14,4,8,2.0,1.0,37.0,0,1,1.0191629046766977,1.3473087409400768,1.6263837844306963,-0.718669788722804,-0.140893277245027
20240608TDA06,14,5,8,4.0,3.0,37.0,2,0,-1.7343109881417802,-1.271296964214881,-0.537080341073472,1.407569873135763,-0.0646035812049713
20240608TDA07,14,6,6,4.0,3.0,37.0,2,0,-0.1375492437979605,0.399542821756349,1.5505120817832927,-0.9920841313470178,1.647054224860064
20240608TDA09,14,8,5,2.0,1.0,37.0,2,0,1.0447076320889253,0.8012738934539388,-1.4492397278261016,0.1069080117626911,0.494619366829491
20240608TDA10,14,9,5,4.0,3.0,37.0,1,1,-0.9057843092124844,0.5264514542700466,1.6295543893457576,1.3767392565570309,-0.6708203932499226
20240608TDA11,14,10,6,4.0,3.0,37.0,2,0,0.75943667833258,-0.6654395762549,-1.0377548833850576,-0.9277510735326348,-0.2752409412815938
20240608TDA12,14,11,8,4.0,4.0,37.0,0,1,-0.4620732607956,-0.6938612272584649,-1.2323318482682186,-0.0469118831854523,1.8390768349843092
20240608KRY01,15,0,5,5.0,4.0,47.0,1,0,0.7529227080569939,0.8872998932657334,-1.644161832532355,-0.0648976879742642,0.4428074427700568
20240608KRY02,15,1,5,5.0,4.0,47.0,1,0,0.7330326333175553,1.0765686534199783,0.5359204153911094,0.09422560719824,-0.5247193502013823
20240608KRY03,15,2,5,5.0,4.0,47.0,1,0,0.884851475940728,0.1655239164385246,-0.0496039715412577,0.8450718597331778,-1.2146804256079418
20240608KRY04,15,3,5,5.0,4.0,47.0,3,1,-1.618777825741566,-1.6865404758830256,-0.2286911289646378,-0.604073200346951,0.5416892375217969
20240608KRY05,15,4,5,4.0,3.0,47.0,1,1,1.2736648166126694,0.5945386426723228,0.1844204237372754,-0.8566187484801563,0.5612135332663166
20240608KRY06,15,5,5,2.0,1.0,47.0,2,1,-0.0999314139089428,0.4007265629937152,0.3540410608033286,-1.7354090778168567,-0.9196130512732784
20240608KRY07,15,6,5,4.0,3.0,47.0,3,1,-0.5543051413640947,0.4555252755173893,0.3198804360366688,1.4570814776553451,-0.7669649888473841
20240608KRY08,15,7,5,3.0,2.0,47.0,2,0,-0.7407445441937496,-0.6257922690165876,1.2895846083609803,1.0325203069510769,0.701516916582875
20240608KRY09,15,8,5,3.0,2.0,47.0,2,1,-0.7584602049063066,-1.9161980714706528,0.617992473302708,-0.8922853318570644,-0.6854469979560361
20240608KRY10,15,9,5,4.0,3.0,47.0,3,0,-1.9282894044107752,-0.9978327870362728,-0.9322074176748244,-0.0397327659871314,0.3131121455425844
20240608KRY11,15,10,5,2.0,1.0,47.0,1,0,-1.1650290879624798,0.351218618740454,-1.7223253315983356,-1.075030915303518,0.991460133983668
20240608KRY12,15,11,5,3.0,2.0,47.0,0,1,1.114117661505063,0.3635144086578522,-0.8476500401048876,0.6261486050501713,-0.9154102134383392
20240609OMR01,8,0,4,3.0,2.0,48.0,2,1,0.941572099137764,0.7061048217059033,-0.6633729562414288,-0.2341933097779553,-0.4333513900174502
20240609OMR02,8,1,6,1.0,1.0,48.0,2,0,-0.3837176691986217,-0.3100200094423391,0.3068722404378426,1.2471671305253376,0.447571796274645
20240609OMR03,8,2,8,1.0,1.0,48.0,2,1,0.3024148767489048,0.61750476303761,-1.4028312215067524,-0.5313122705414516,1.141088661469097
20240609OMR04,8,3,6,1.0,1.0,48.0,2,1,0.3795056332975473,-0.0019750060536496,-1.8459566206707525,0.1930764481478447,0.884990406755995
20240609OMR05,8,4,7,0.0,1.0,48.0,2,0,-0.0238338564922249,0.449526546002051,-1.4259812509726486,1.4466846659903998,0.4866642633923059
20240609OMR06,8,5,7,0.0,1.0,48.0,2,1,-0.2736825881468069,-0.0249162549517316,0.6453201044890989,-1.2212785240337731,-0.3099652099390354
20240609OMR07,8,6,3,1.0,1.0,48.0,1,1,1.208024381978025,0.519071116402253,-0.5732039256943752,-1.1128448683546832,-1.5109947130387382
20240609OMR08,8,7,3,2.0,1.0,48.0,2,0,-0.4030832025565741,-0.0920323060408207,-0.2702904600177301,0.3406355226460036,-0.2976164652299881
20240609OMR09,8,8,2,1.0,1.0,48.0,2,1,-0.0593041482427174,1.043087893544613,-0.9662901636654532,1.804062995323416,-1.5471318693881897
20240609OMR10,8,9,7,0.0,1.0,48.0,0,0,-0.0934105327131185,0.9965922430160064,-0.6657963669231549,-1.49884177065783,-0.7271212629197625
20240609OMR11,8,10,5,1.0,1.0,48.0,0,0,1.0016296840509886,0.2411943073635881,-0.3609645523580954,-0.9558187044099749,0.0293863549692162
